Wavelength	spectrum00011.asd
350	 16.2553202807149 
351	 15.9997021452332 
352	 16.155363618362 
353	 17.1468807169981 
354	 18.7725129315115 
355	 19.7190368061219 
356	 20.7293996941991 
357	 21.9992847169707 
358	 23.2083412377901 
359	 24.317012678682 
360	 25.7701305315964 
361	 27.3465568478042 
362	 26.6683860018959 
363	 29.0128729279004 
364	 32.9956358492266 
365	 34.959315542804 
366	 36.8372470402945 
367	 38.7443411274597 
368	 40.3593092597597 
369	 40.9980556682427 
370	 43.5735737281653 
371	 46.5976524441826 
372	 48.4664166453556 
373	 51.1856181017996 
374	 53.4957406798027 
375	 55.4959387516276 
376	 58.042883237005 
377	 59.7498832547242 
378	 61.6255870538995 
379	 64.3185260286893 
380	 67.2402529093559 
381	 69.9995914946175 
382	 73.0378995523473 
383	 76.7550581381676 
384	 79.7778816975728 
385	 80.942123986619 
386	 81.312821513233 
387	 84.1650040852973 
388	 88.3302883607768 
389	 92.2783393118577 
390	 95.2080268137788 
391	 98.8682400715982 
392	 102.209548382512 
393	 105.153440382576 
394	 108.126162776308 
395	 110.346436630545 
396	 113.695872904177 
397	 118.835326443556 
398	 123.837518280871 
399	 128.411870684467 
400	 132.252692722564 
401	 135.52219531195 
402	 140.133066411137 
403	 144.90138445855 
404	 149.32403349909 
405	 153.812934702319 
406	 159.537702886772 
407	 166.011706677348 
408	 172.290343525978 
409	 176.982038814297 
410	 184.369728844556 
411	 192.40441212209 
412	 196.257743474062 
413	 205.682129683893 
414	 214.56802258236 
415	 220.204930493455 
416	 230.22255830587 
417	 239.433237055842 
418	 247.514504824779 
419	 255.830921862864 
420	 264.875137194225 
421	 276.009023750011 
422	 287.801861374127 
423	 295.774057496116 
424	 306.525697498324 
425	 318.364110010715 
426	 328.976813650427 
427	 341.05815213444 
428	 354.655217818302 
429	 368.114154794522 
430	 379.014411272688 
431	 391.549324798016 
432	 404.431584444828 
433	 416.369730042336 
434	 427.731350751162 
435	 440.549748443548 
436	 454.252498633592 
437	 467.312382816982 
438	 480.575515698126 
439	 494.006520170644 
440	 507.037153370282 
441	 518.429745139412 
442	 530.358550961617 
443	 542.972541112526 
444	 555.712845725907 
445	 567.939639507246 
446	 579.495741760113 
447	 590.565311766574 
448	 601.572200672004 
449	 611.453906507307 
450	 621.481146321167 
451	 632.159260673738 
452	 640.735601363014 
453	 647.884937045802 
454	 655.241317777573 
455	 664.362160000033 
456	 669.956416339426 
457	 675.647675924487 
458	 683.153706026813 
459	 688.662795656768 
460	 694.935496621843 
461	 700.698387805839 
462	 704.081691731151 
463	 708.180539839762 
464	 713.073974337355 
465	 718.047926881737 
466	 721.7113704107 
467	 726.792579595122 
468	 732.024850466244 
469	 736.089063459434 
470	 741.535933790048 
471	 746.831772448085 
472	 751.585818515988 
473	 756.396010139977 
474	 761.722127531957 
475	 767.174555834343 
476	 772.498766116411 
477	 778.087658645254 
478	 784.923570121773 
479	 792.222592655952 
