Wavelength	spectrum00002.asd
350	 16.467641638375 
351	 17.6470414977959 
352	 17.8706351250089 
353	 18.5416043539932 
354	 20.7523905316047 
355	 20.8914368900843 
356	 21.72921006795 
357	 23.703949996984 
358	 25.0839182232399 
359	 24.695434230692 
360	 25.4403922386639 
361	 28.5364658280321 
362	 29.7530295108339 
363	 30.4769824477186 
364	 31.1548620511248 
365	 32.1863168177811 
366	 35.2786206989268 
367	 39.2618075451024 
368	 42.3274537075736 
369	 42.2861830752438 
370	 43.5908368589434 
371	 45.859718517841 
372	 47.8948484130715 
373	 50.218749120927 
374	 52.4567239765289 
375	 54.6291322168585 
376	 56.9304312378005 
377	 58.1623079074772 
378	 60.8914006231213 
379	 65.3529345332153 
380	 66.349574806478 
381	 68.2176538735203 
382	 71.6008114522324 
383	 75.5258548334966 
384	 77.986665274089 
385	 79.3691221544246 
386	 80.8242366404423 
387	 84.0510057434717 
388	 87.6940663741375 
389	 90.8360221470024 
390	 93.3252534649464 
391	 97.0804428296862 
392	 99.9282599118663 
393	 102.105433595279 
394	 105.174923980492 
395	 108.39240059096 
396	 112.537117394194 
397	 116.977543949535 
398	 118.008277891281 
399	 122.462524857895 
400	 128.518412414864 
401	 132.300944515557 
402	 136.1749421349 
403	 140.771163478215 
404	 146.324762942241 
405	 152.634729579419 
406	 156.019571725446 
407	 160.298196283903 
408	 168.075573673157 
409	 172.922408242226 
410	 179.252572967253 
411	 187.128542996973 
412	 194.0712846938 
413	 200.559458416618 
414	 207.036899645408 
415	 213.886370266148 
416	 221.237153382442 
417	 230.416929913839 
418	 239.829365918646 
419	 247.657618651289 
420	 257.420048044702 
421	 268.102123777131 
422	 278.42322792886 
423	 287.186173105452 
424	 296.447507139164 
425	 307.701018314975 
426	 320.986752425805 
427	 332.372945743274 
428	 342.841543117359 
429	 353.625891650881 
430	 365.871644163004 
431	 376.94187157577 
432	 388.615994664389 
433	 401.567463467189 
434	 412.247820654809 
435	 425.025470866905 
436	 439.173467015601 
437	 451.989079843272 
438	 463.249250439533 
439	 475.5200411136 
440	 489.251614727823 
441	 501.667677084251 
442	 513.808682742935 
443	 525.75759987859 
444	 537.439809316287 
445	 549.18922536042 
446	 559.681299096736 
447	 569.261710690145 
448	 579.730842590678 
449	 590.2831639646 
450	 599.814680286789 
451	 608.048409016458 
452	 617.155429311982 
453	 625.718358269204 
454	 633.400369639725 
455	 640.522730365987 
456	 647.793961198696 
457	 654.151665816097 
458	 659.348897969496 
459	 665.056664160832 
460	 669.798018453776 
461	 674.345145589734 
462	 679.772061379019 
463	 684.0530981946 
464	 687.905944495612 
465	 692.032151519493 
466	 696.886219709004 
467	 701.332741125672 
468	 705.343569250839 
469	 709.417987289157 
470	 714.856782472386 
471	 720.012268614607 
472	 724.660710793022 
473	 729.768901892492 
474	 735.765740984972 
475	 741.208001825659 
476	 745.396713547225 
477	 750.037903484116 
478	 757.195897095392 
479	 764.919151624882 
480	 769.845647592215 
481	 777.026116511841 
482	 783.075923773569 
483	 786.957810069737 
484	 793.14416190719 
485	 800.487212649613 
486	 807.705754594199 
487	 813.752138187868 
488	 819.799825852974 
489	 826.602377076691 
490	 834.126109170755 
491	 841.477773811024 
492	 850.110860795355 
493	 858.63131172307 
494	 866.290936366835 
495	 877.43614229809 
496	 888.099916519352 
497	 897.740766049926 
498	 908.677206730506 
499	 922.727545492836 
500	 936.049211284871 
501	 947.098819158123 
502	 962.687687479625 
503	 979.200221693904 
504	 996.123307663152 
505	 1014.19712642122 
506	 1031.6177579337 
507	 1049.61650694328 
508	 1069.45030724316 
509	 1091.92808520017 
510	 1114.96416295119 
511	 1139.68050571575 
512	 1167.61212959201 
513	 1195.92670277883 
514	 1224.55760671119 
515	 1254.51517976153 
516	 1287.82972492357 
517	 1322.34795431299 
518	 1359.82988051889 
519	 1401.42243560456 
520	 1442.3667322322 
521	 1484.92727491223 
522	 1529.45254844522 
523	 1574.63956412455 
524	 1620.14415802811 
525	 1666.44871748195 
526	 1713.66322384306 
527	 1760.38402665065 
528	 1808.11225943772 
529	 1855.49657883837 
530	 1900.20640501113 
531	 1945.70575948247 
532	 1993.47680264747 
533	 2042.35779195922 
