Wavelength	spectrum00012.asd
350	 18.1906203662972 
351	 16.9038861715675 
352	 16.3993972216503 
353	 17.7104974688157 
354	 20.1905452456195 
355	 20.7569661893972 
356	 21.8573460813107 
357	 23.6073809938487 
358	 24.1602558356388 
359	 25.324188684583 
360	 26.9217097537025 
361	 28.3931357135076 
362	 28.904929099535 
363	 30.8396723888979 
364	 33.2936221979892 
365	 34.4785086520391 
366	 36.780805709422 
367	 39.3791995572967 
368	 41.3164974992539 
369	 41.8129530085715 
370	 43.820509715671 
371	 47.0532279860013 
372	 50.2686112837644 
373	 52.0411324257212 
374	 54.3909929499499 
375	 56.6957522714318 
376	 57.0381627539606 
377	 59.6715586332114 
378	 62.5286064374647 
379	 64.5786478955039 
380	 68.6371168519508 
381	 69.9990954981577 
382	 71.5373350877432 
383	 76.9570102866861 
384	 79.0130894314121 
385	 80.0184334251314 
386	 82.2905344014816 
387	 87.3913234218822 
388	 90.8186892592419 
389	 93.1649422818382 
390	 95.7932017704198 
391	 98.5276364651352 
392	 102.23487305081 
393	 105.824376647647 
394	 107.496986872398 
395	 110.660860204764 
396	 114.234238668284 
397	 117.731706242491 
398	 122.848823584015 
399	 127.00976817652 
400	 130.75617047544 
401	 135.445511357275 
402	 140.496958474425 
403	 146.261505861094 
404	 152.070568557448 
405	 156.268856146921 
406	 161.257703204935 
407	 166.393842145914 
408	 170.886435275247 
409	 175.247049874363 
410	 182.521596856613 
411	 191.474334509689 
412	 198.440511592696 
413	 204.491906004946 
414	 212.101659039757 
415	 221.499384707114 
416	 228.1915336739 
417	 237.01144265099 
418	 246.716954484085 
419	 254.644198661034 
420	 263.148487334484 
421	 273.200057883953 
422	 284.40874202768 
423	 294.970495807481 
424	 305.819394129145 
425	 317.203066633767 
426	 329.015184543415 
427	 340.595555916133 
428	 351.073542843488 
429	 362.161367392084 
430	 376.79058413576 
431	 388.779106333423 
432	 400.324600388855 
433	 413.129226336508 
434	 424.648448733499 
435	 438.136419866454 
436	 452.06000247859 
437	 463.633875445953 
438	 476.602851960237 
439	 489.517356562104 
440	 502.137504088098 
441	 516.540376969528 
442	 528.978468214217 
443	 540.171428839164 
444	 551.946532511515 
445	 564.974800236798 
446	 576.296515904634 
447	 586.623037177432 
448	 599.683053347615 
449	 609.039687534831 
450	 617.685984896107 
451	 628.289992665601 
452	 637.511436466211 
453	 645.975114005505 
454	 653.587895882956 
455	 660.106297011237 
456	 667.010985087612 
457	 673.639183316783 
458	 679.58325553817 
459	 685.426449088099 
460	 690.678059372849 
461	 695.188232709354 
462	 699.31054106025 
463	 705.449310744373 
464	 711.194973797684 
465	 715.249750211505 
466	 718.031212465896 
467	 723.559919180715 
468	 729.488968832533 
469	 733.154685210941 
470	 737.346992078278 
471	 741.988198854789 
472	 747.301825372781 
473	 753.621530932217 
474	 759.192425712408 
