Wavelength	spectrum00001.asd
350	 17.1126764755798 
351	 17.8778393805694 
352	 16.8113596748753 
353	 16.5839320806994 
354	 19.5972736096002 
355	 21.4757064671918 
356	 22.1967047627862 
357	 22.5792168869456 
358	 23.9498963413622 
359	 25.3878326650934 
360	 26.8925925686947 
361	 28.2681184655131 
362	 28.3478886947808 
363	 29.1364611528299 
364	 31.3610417585409 
365	 34.7780902522349 
366	 37.0799136944857 
367	 39.3106733329811 
368	 41.6512999015389 
369	 42.9295902095013 
370	 45.9970350001784 
371	 48.3000347551225 
372	 48.0057894970771 
373	 50.1184466058203 
374	 53.3063785007663 
375	 56.5678789327303 
376	 59.1403296644959 
377	 60.6798413307786 
378	 62.3087483448632 
379	 64.7518265796107 
380	 67.6121622320852 
381	 71.0693020642055 
382	 73.999289240413 
383	 75.4849069041012 
384	 78.0617967295899 
385	 81.5482180794805 
386	 84.6415598887412 
387	 85.2121649390774 
388	 87.9683357632157 
389	 91.8696389199765 
390	 95.1738568288631 
391	 98.2593893414545 
392	 100.449439012168 
393	 102.756507337427 
394	 106.930047966888 
395	 111.593427135907 
396	 114.959809697639 
397	 116.933889231167 
398	 120.317829244434 
399	 125.556494762061 
400	 130.911713674737 
401	 134.59350332945 
402	 139.422312680676 
403	 143.362771687574 
404	 146.730428457075 
405	 152.426498528261 
406	 159.141447686617 
407	 164.892861629224 
408	 169.086927017275 
409	 175.691166826506 
410	 183.070425223234 
411	 189.823007791439 
412	 195.09071487286 
413	 202.16194802562 
414	 210.607471863452 
415	 219.329976327283 
416	 226.905736818193 
417	 235.02207064335 
418	 243.91927081971 
419	 253.209267620584 
420	 261.929495845249 
421	 272.902179696339 
422	 284.904783799562 
423	 292.042667997243 
424	 301.827078721854 
425	 313.175996223098 
426	 323.974902778697 
427	 336.176286272726 
428	 348.686705012057 
429	 360.460156464585 
430	 370.838526266479 
431	 383.28741218309 
432	 396.170850942305 
433	 408.346899705191 
434	 421.800252005045 
435	 433.455137942755 
436	 444.670001016267 
437	 458.000866742133 
438	 470.045091137432 
439	 482.243457819542 
440	 495.371607271926 
441	 508.770288608398 
442	 521.149303988615 
443	 532.717682661085 
444	 544.294187094468 
445	 557.145295128152 
446	 568.816600891019 
447	 578.974027147424 
448	 589.294440267966 
449	 600.38243823936 
450	 611.009085649925 
451	 620.108530811526 
452	 628.131072159253 
453	 635.17246466806 
454	 642.031474192488 
455	 649.712704730576 
456	 657.372282560647 
457	 664.155228696016 
458	 669.759443754903 
459	 674.770055675189 
460	 680.051953782518 
461	 685.455693282095 
462	 690.443313248487 
463	 694.98724664942 
464	 698.753026960478 
465	 702.355989010156 
466	 707.521452559478 
467	 711.63368492525 
468	 715.293352357227 
469	 719.629803758079 
470	 724.337761248544 
471	 730.142383773521 
472	 736.00212316616 
473	 739.792013347714 
474	 745.982099175083 
475	 752.097681863283 
476	 756.322128314629 
477	 761.336443563311 
478	 768.921083563725 
479	 777.387269339615 
480	 783.491661201147 
481	 788.680950037284 
482	 794.262376561879 
483	 800.603222737601 
484	 806.35041180114 
485	 814.582464127041 
486	 822.509564604391 
487	 826.68349950571 
488	 831.764299389538 
489	 838.939556119658 
490	 847.260953780624 
491	 853.636788466894 
492	 862.416774894885 
493	 871.898401889659 
494	 880.113888560467 
495	 889.794038126901 
496	 900.286621792936 
497	 911.730289649425 
498	 924.748967247479 
499	 937.379896174238 
500	 949.628804015677 
501	 962.642815435577 
502	 979.778746555971 
503	 996.240299922142 
504	 1011.91783225887 
505	 1029.04437492702 
506	 1047.42095971223 
507	 1066.23711638467 
508	 1085.66238584372 
509	 1107.74289541457 
510	 1131.06221700186 
511	 1156.03105127555 
512	 1183.27963100173 
513	 1211.10073356866 
514	 1240.52079451842 
515	 1272.10122790821 
516	 1305.64893159115 
517	 1341.61996225926 
518	 1378.96855094389 
519	 1417.02788782397 
520	 1457.97311665608 
521	 1500.85987578385 
522	 1545.11074029326 
523	 1590.44709926586 
524	 1635.88419276333 
525	 1681.70787364822 
526	 1728.73872547789 
527	 1778.89867245682 
528	 1827.7581496588 
529	 1874.22801144149 
530	 1919.36706611458 
531	 1965.33479425674 
532	 2010.61215026272 
533	 2055.42649248331 
534	 2104.48192147759 
535	 2150.4457669984 
536	 2193.0515195424 
537	 2234.46473451672 
538	 2273.81654096764 
539	 2313.67360305432 
540	 2353.82513804953 
541	 2390.38850712078 
542	 2428.9075287591 
543	 2468.34496206114 
544	 2506.80541215836 
545	 2546.61188559928 
546	 2585.95100114127 
547	 2624.2548930417 
548	 2662.12013260752 
549	 2699.86078398229 
550	 2736.86624047588 
551	 2772.71427509191 
552	 2808.14967892034 
553	 2841.91927354286 
554	 2873.05855182518 
555	 2900.80652179445 
556	 2924.67395887084 
557	 2945.64307626783 
558	 2964.69619183013 
559	 2982.6568021253 
560	 2996.9907486914 
561	 3007.00728384505 
562	 3012.84645767601 
563	 3014.42529126397 
564	 3014.56474866222 
565	 3012.73388456798 
566	 3003.89208241077 
567	 2996.34406745833 
568	 2988.38276725734 
569	 2976.77874494247 
570	 2963.11521926329 
571	 2954.58731163721 
572	 2951.49063933221 
573	 2948.16411814056 
574	 2947.84396114563 
575	 2949.67716587595 
576	 2952.99143557437 
577	 2959.46962177148 
578	 2969.09250731974 
579	 2981.56491913581 
580	 2996.55097749374 
581	 3016.36797078212 
582	 3034.20074428514 
583	 3046.87280402255 
584	 3060.17822004792 
585	 3067.01673194331 
586	 3069.83735310676 
587	 3073.72283093077 
588	 3076.12863839702 
589	 3078.1400494829 
590	 3080.34987623239 
591	 3082.5067473597 
592	 3084.26648466748 
593	 3083.47641361525 
594	 3078.55527098925 
595	 3071.01561239623 
596	 3065.20364049845 
597	 3062.22953518901 
598	 3060.4685758407 
599	 3060.65752391548 
600	 3061.07590664649 
601	 3060.60109367963 
602	 3060.48858057989 
603	 3061.49428495635 
604	 3061.18073225201 
605	 3056.33665768483 
606	 3052.1498713013 
607	 3048.64032592169 
608	 3044.98707854128 
609	 3039.87621145606 
610	 3036.25104222882 
611	 3032.08278519154 
612	 3024.9881342964 
613	 3019.54673263787 
614	 3014.89173484752 
615	 3011.32231975522 
616	 3010.53192946285 
617	 3008.86592672736 
618	 3007.6532223744 
619	 3008.54857919085 
620	 3010.20526951189 
621	 3014.25172468667 
622	 3020.55264768656 
623	 3027.7358780667 
624	 3034.90696487522 
625	 3043.16471389251 
626	 3052.96905139624 
627	 3062.77697543546 
628	 3073.88132532203 
629	 3084.94345863897 
630	 3093.79310521836 
631	 3100.04734962201 
632	 3106.4097579329 
633	 3113.16961770275 
634	 3117.31938030789 
635	 3117.59529642852 
636	 3115.10138153923 
637	 3111.4191846291 
638	 3106.49734200202 
639	 3102.69993917287 
640	 3098.40117608702 
641	 3089.43120402531 
642	 3082.70759588742 
643	 3076.19381140567 
644	 3068.09727205739 
645	 3060.40750739001 
646	 3056.04543034743 
647	 3053.72498988378 
648	 3050.6132306717 
649	 3048.51575970871 
650	 3049.60418006981 
651	 3053.61989559976 
652	 3056.93364770272 
