Wavelength	spectrum00003.asd
350	 15.4978493400357 
351	 17.4846040483237 
352	 17.6976552747387 
353	 17.7743489375176 
354	 19.6230475428353 
355	 20.0849080794767 
356	 21.1459553851653 
357	 22.6258505159305 
358	 22.6437918345725 
359	 24.4825845539388 
360	 26.2985240667504 
361	 26.8818659882149 
362	 28.6873914016016 
363	 29.0773336273096 
364	 29.5203961836781 
365	 32.5188977263392 
366	 35.465765880595 
367	 37.939568204212 
368	 39.9507710124567 
369	 41.8306660645772 
370	 43.948384342108 
371	 46.2507662567008 
372	 48.5121847073082 
373	 50.3056315268182 
374	 52.7965345901192 
375	 55.1459003683166 
376	 55.6819953340323 
377	 59.085290751983 
378	 62.1547368878001 
379	 63.2154723340773 
380	 65.5058522591987 
381	 67.2790549364063 
382	 70.0590929329682 
383	 75.2050147513024 
384	 77.3203158713287 
385	 78.7859285900645 
386	 81.0013591343714 
387	 83.8339542634482 
388	 87.5725208122096 
389	 90.7096036312514 
390	 92.6727008073329 
391	 96.9697229493441 
392	 100.291160165126 
393	 102.427468960229 
394	 104.972577027658 
395	 107.573043736616 
396	 110.921777748699 
397	 114.979194996296 
398	 118.150563408242 
399	 122.944908730399 
400	 128.395754774701 
401	 132.78258071725 
402	 137.168954051071 
403	 142.045332370178 
404	 146.92377808843 
405	 150.454304329613 
406	 156.62178301111 
407	 163.28603058271 
408	 167.966660788326 
409	 170.904396457476 
410	 177.611085244355 
411	 186.996982355811 
412	 194.101744607534 
413	 200.332259402537 
414	 206.988086685548 
415	 214.823133147628 
416	 223.606146334693 
417	 232.543438297348 
418	 240.585394010488 
419	 247.424945787816 
420	 256.804354162802 
421	 267.866917594874 
422	 278.695045512555 
423	 286.640779182352 
424	 296.868015343619 
425	 309.14464665359 
426	 321.593907099021 
427	 331.684410622723 
428	 342.040505794155 
429	 353.381647254779 
430	 365.10172972948 
431	 378.412410280729 
432	 392.054734329961 
433	 404.75922987789 
434	 415.92372239447 
435	 426.851328039204 
436	 437.939400186485 
437	 449.492910110288 
438	 464.119002100304 
439	 477.70250796831 
440	 488.980607585571 
441	 501.382743993951 
442	 512.769638162773 
443	 524.89631998683 
444	 539.021552576496 
445	 549.893641416354 
446	 560.125388575776 
447	 570.88371066594 
448	 581.761772767321 
449	 591.342486558604 
450	 601.000535147212 
451	 611.371586560643 
452	 619.399808520693 
453	 627.708884921784 
454	 635.985984204729 
455	 642.511625514944 
456	 648.659110954449 
457	 655.162717302253 
458	 661.712582341227 
