Wavelength	spectrum00009.asd
350	 16.2792887757765 
351	 18.4017621733178 
352	 18.119461818729 
353	 17.4374596053273 
354	 18.5950032175837 
355	 18.0245060622147 
356	 20.7900340827354 
357	 25.151556134402 
358	 24.1177251911291 
359	 25.3803958675961 
360	 27.1607206548953 
361	 27.6913951922678 
362	 28.873028771585 
363	 31.5009556528665 
364	 34.2933813392295 
365	 35.4854234945235 
366	 36.8500843988109 
367	 38.9685044937831 
368	 41.6355697683335 
369	 43.8249471303587 
370	 45.3328601470403 
371	 46.5666684567452 
372	 48.2392170855951 
373	 51.4905979480462 
374	 54.6646882548027 
375	 57.23273689405 
376	 59.397178700748 
377	 60.2790655514267 
378	 61.2325171934355 
379	 63.105680140941 
380	 65.2506196070763 
381	 67.6481843594669 
382	 71.1006944065405 
383	 75.929136167841 
384	 78.4992737809006 
385	 80.1433004117291 
386	 81.9723412783923 
387	 84.5256166509051 
388	 88.0490917005171 
389	 91.8155875649481 
390	 95.2155218372858 
391	 98.8684198146682 
392	 101.187583398742 
393	 102.667393765453 
394	 105.069915979529 
395	 109.112363264965 
396	 113.481750270138 
397	 117.143752528623 
398	 119.877634478515 
399	 124.682631853641 
400	 129.667333201312 
401	 132.411823765729 
402	 137.180742760751 
403	 143.432390434031 
404	 149.408393911884 
405	 152.540046377686 
406	 157.030878042515 
407	 162.522681789969 
408	 168.128298644736 
409	 174.784919055159 
410	 180.877291827276 
411	 186.833115360679 
412	 194.065989892605 
413	 200.015077401967 
414	 207.252380599801 
415	 216.539695773334 
416	 223.988442722701 
417	 232.352967779328 
418	 241.545791194575 
419	 250.503188635826 
420	 258.386123373301 
421	 268.033743156336 
422	 279.359581283569 
423	 288.775575550625 
424	 299.764187950196 
425	 310.696522844029 
426	 320.169134954437 
427	 331.669971169927 
428	 344.09696441207 
429	 356.315875049441 
430	 367.417377652034 
431	 379.60306447412 
432	 392.582396889235 
433	 405.504355144724 
434	 417.114187604787 
435	 428.565937440441 
436	 440.695063711652 
437	 453.839554557331 
438	 465.740061011051 
439	 478.392843037635 
440	 491.76736322163 
441	 502.522794146968 
442	 514.253631244806 
443	 526.998623911746 
444	 539.834517907626 
445	 552.809198342054 
446	 563.069165858337 
447	 572.112285018407 
448	 584.966494508889 
449	 594.868089829918 
450	 604.079544420023 
451	 614.486144716474 
452	 621.854338680429 
453	 629.267416230657 
454	 637.309740322309 
455	 645.048934752379 
456	 651.06652458041 
457	 657.333217013606 
458	 664.286907919437 
459	 668.758274114075 
460	 672.620605756414 
461	 677.435473256696 
462	 683.891749702968 
463	 688.311880250994 
464	 691.78782296497 
465	 695.54125944175 
466	 700.532028934022 
467	 706.004205013175 
468	 710.705911549002 
469	 714.214475252223 
470	 719.506390254295 
471	 725.315423401116 
472	 730.63695386044 
473	 734.87945735028 
474	 739.91211725859 
475	 745.193595960759 
476	 750.245236281468 
477	 755.696922205215 
478	 763.333283782324 
479	 770.815274068888 
480	 774.571509308906 
481	 780.630433955074 
482	 787.162253447107 
483	 793.057501430387 
484	 799.985689919578 
485	 806.866738490042 
486	 814.218113761257 
487	 822.41040939803 
488	 828.063236735539 
489	 833.790101842083 
490	 840.862800361451 
491	 848.586833212169 
492	 856.661118344052 
493	 864.880914061372 
494	 873.389531317168 
495	 883.381341002082 
496	 893.692300172243 
497	 904.555692550421 
498	 917.179284286774 
499	 929.69144253003 
500	 942.33496737806 
501	 955.90396218879 
502	 971.815253923048 
503	 987.117239822158 
504	 1002.53408715344 
505	 1020.38557448297 
506	 1038.87339584869 
507	 1057.24966068983 
508	 1076.79943989078 
509	 1102.4631642503 
510	 1126.85923742906 
511	 1150.45097960331 
512	 1176.11551058435 
513	 1202.77951123352 
514	 1232.65500437325 
515	 1265.9442886931 
516	 1300.31040290437 
517	 1335.24732973656 
518	 1372.32043548355 
519	 1412.82163815958 
520	 1454.78169488436 
521	 1498.31197676136 
522	 1543.01232167575 
523	 1588.19139972385 
524	 1635.9611762573 
525	 1684.25880467927 
526	 1731.30666894317 
527	 1777.89183713497 
528	 1825.3552677053 
529	 1873.81157179743 
530	 1922.34712781681 
531	 1967.77343260173 
532	 2014.27234315463 
533	 2063.18799426608 
534	 2109.19446774757 
535	 2153.48125430888 
536	 2196.55257214582 
537	 2238.59523657115 
538	 2278.06909681496 
539	 2317.94170590228 
540	 2358.86960054025 
541	 2398.31005923967 
542	 2436.6365199096 
543	 2474.97797609014 
544	 2514.3885644843 
545	 2554.62467595457 
546	 2594.80176076627 
547	 2634.61039848094 
548	 2674.17378591504 
549	 2711.60311932045 
550	 2747.81856092816 
551	 2783.76230462672 
552	 2819.11430289107 
553	 2851.57149743047 
554	 2881.80175229547 
555	 2911.74096326849 
556	 2937.62436608164 
557	 2960.270058477 
558	 2980.03409968221 
559	 2995.1866192114 
560	 3006.80653194664 
561	 3016.5349203506 
562	 3025.2652611284 
563	 3028.13553617224 
564	 3026.75981418567 
565	 3022.73866301714 
566	 3017.01536207746 
567	 3007.9847973734 
568	 2996.7709563032 
569	 2985.030925718 
570	 2972.66596174034 
571	 2963.94774015111 
572	 2959.06724389293 
573	 2954.73126386893 
574	 2953.84350666559 
575	 2954.94559079118 
576	 2957.42118208142 
577	 2965.31180355716 
578	 2975.18997118139 
579	 2986.94361583042 
580	 3002.05678040677 
581	 3019.14269908774 
582	 3034.94490769747 
583	 3048.38055439148 
584	 3063.36301416801 
585	 3068.90898801102 
586	 3070.35629704966 
587	 3076.69766468227 
588	 3078.22431093663 
589	 3079.55777727767 
590	 3082.45470999245 
591	 3084.08301719348 
592	 3084.02794841474 
593	 3081.43144746615 
594	 3076.1082436956 
595	 3069.89005903889 
596	 3064.54454201819 
597	 3060.50509081976 
598	 3057.16326475966 
599	 3055.96966960678 
600	 3057.08987892457 
601	 3059.04097437184 
602	 3056.68933449746 
603	 3054.73958514404 
604	 3053.17133094842 
605	 3049.84079959592 
606	 3045.75320942537 
607	 3041.99009555974 
