Wavelength	spectrum00014.asd
350	 16.0445173660597 
351	 18.636117529119 
352	 18.5717145395447 
353	 18.2525307438165 
354	 20.4347045809098 
355	 19.607996848673 
356	 20.3658710813312 
357	 22.9330077816671 
358	 23.7419553246204 
359	 23.8775772923982 
360	 25.4389614335021 
361	 28.8212231899357 
362	 30.0189749130028 
363	 31.6430528283135 
364	 33.7843099498196 
365	 35.5010747226131 
366	 35.7329527945898 
367	 38.3448208014917 
368	 42.9282196158994 
369	 43.5840788732212 
370	 45.0974319973033 
371	 47.6143838787861 
372	 50.2457483259772 
373	 52.6349167063937 
374	 54.557422701826 
375	 56.5540107413643 
376	 59.4322052525211 
377	 60.9602190519319 
378	 62.812460197755 
379	 65.9017344368625 
380	 68.7667651915358 
381	 71.0918119752704 
382	 74.171639648257 
383	 78.8265880662819 
384	 79.8645088533904 
385	 81.3570060478634 
386	 84.7704503201293 
387	 88.2464561351512 
388	 91.0555177699536 
389	 94.1024605832414 
390	 97.7776083225467 
391	 99.408349894655 
392	 102.816222796043 
393	 107.566584679778 
394	 110.909138409362 
395	 114.478246900286 
396	 117.584376983328 
397	 120.221132006993 
398	 123.992674319475 
399	 128.751880687124 
400	 134.109777418983 
401	 139.47811148117 
402	 144.092980515772 
403	 149.189815767717 
404	 154.724783228959 
405	 159.266821794005 
406	 163.57618562562 
407	 169.801125612253 
408	 178.380894078713 
409	 183.775294178362 
410	 189.57249970115 
411	 196.17957046316 
412	 202.331956103939 
413	 210.498294702268 
414	 218.849511860992 
415	 226.489292656142 
416	 235.309466123832 
417	 244.420312953092 
418	 253.479667964489 
419	 262.441427545294 
420	 271.88086611237 
421	 281.854795465131 
422	 292.324540693215 
423	 303.183511408033 
424	 314.291716437692 
425	 325.708947427621 
426	 337.451739939531 
427	 349.15288313383 
428	 361.38835438994 
429	 374.235671566744 
430	 387.344067360164 
431	 399.794833283902 
432	 412.868073713102 
433	 426.755796183225 
434	 438.237214921072 
435	 451.199102261317 
436	 465.294678634402 
437	 478.595242428464 
438	 491.71739850761 
439	 504.51161528755 
440	 517.039461625781 
441	 529.684531012382 
442	 543.465158725566 
443	 557.147805031324 
444	 569.330044887127 
445	 580.900982566262 
446	 592.134239221637 
447	 603.475533520975 
448	 615.417265651214 
449	 626.170400031349 
450	 636.169335498983 
451	 645.953485040641 
452	 655.05007458204 
453	 663.486486538609 
454	 671.793451319396 
455	 680.475704229729 
456	 686.960561837984 
457	 692.518510318791 
458	 698.363175387049 
459	 704.796883337996 
460	 710.566033962363 
461	 715.614563970951 
462	 720.398763681902 
463	 725.39275486514 
464	 730.119149939636 
465	 734.976455778398 
466	 741.460102764837 
467	 745.72615143141 
468	 748.844081497955 
469	 752.653803622362 
470	 756.528237910162 
471	 761.209940325663 
472	 766.797949617082 
473	 772.832339905346 
474	 778.929685191673 
475	 784.929317805131 
476	 790.91858010843 
477	 797.44142088137 
478	 804.275723072423 
479	 810.551468640403 
480	 815.540143506076 
481	 822.862235499749 
482	 829.912576162704 
483	 835.509227223812 
484	 842.081959428492 
485	 848.73505700841 
486	 855.533141791913 
487	 862.64740190882 
488	 869.237760125385 
489	 876.29700031813 
490	 883.911092306576 
491	 891.025850851229 
492	 900.319794855101 
493	 910.35156750438 
494	 919.552859903246 
495	 929.941094330865 
496	 940.382881593126 
497	 951.184677174126 
498	 963.683555156772 
499	 976.416848382294 
