Wavelength	spectrum00000.asd
350	 16.1517640099213 
351	 17.3139732766312 
352	 17.8296490118024 
353	 18.2550704803269 
354	 19.3778123057549 
355	 21.4057769381421 
356	 22.8023454791514 
357	 23.4005524532003 
358	 24.2077591540553 
359	 24.4912822326091 
360	 26.0670015931592 
361	 29.1764730972623 
362	 29.4438906935581 
363	 29.4884751284917 
364	 31.6923681500907 
365	 37.0656237878276 
366	 38.4122570392151 
367	 39.3837759945424 
368	 41.5621278020453 
369	 42.9748967196008 
370	 44.3114505511828 
371	 47.1109076140267 
372	 51.4907596917371 
373	 52.1129370301656 
374	 53.217187242747 
375	 55.5253038878525 
376	 57.4425427046325 
377	 59.5343944422296 
378	 62.0152342789651 
379	 64.5504863236816 
380	 65.6566201409864 
381	 68.5564496213855 
382	 72.7489180066049 
383	 76.303156607924 
384	 77.7338670690123 
385	 79.4491383178316 
386	 82.2117468900058 
387	 84.8168071613917 
388	 88.2022211085556 
389	 91.2578598027769 
390	 93.5745315692441 
391	 98.289808080429 
392	 102.302956498676 
393	 104.803027699867 
394	 106.684092551563 
395	 111.032540552353 
396	 114.160507575611 
397	 115.195356558714 
398	 119.701903453604 
399	 125.456542849424 
400	 130.525812736941 
401	 133.840850587133 
402	 138.888122812234 
403	 143.419777021372 
404	 147.219001930697 
405	 152.406665223476 
406	 157.293008884646 
407	 162.663917692754 
408	 169.058168268907 
409	 174.662695298629 
410	 180.504926979201 
411	 186.770965580097 
412	 193.207896487372 
413	 200.379467793335 
414	 208.811868160232 
415	 217.913866255542 
416	 224.885534172033 
417	 233.453599691673 
418	 242.493536842652 
419	 249.873010613049 
420	 258.106884511092 
421	 268.713992317456 
422	 280.694991664183 
423	 290.358554040884 
424	 299.542185773144 
425	 310.67780545972 
426	 324.421473325065 
427	 335.057234738057 
428	 345.0778386696 
429	 356.216197914937 
430	 369.344283217866 
431	 381.822532263508 
432	 394.297988733171 
433	 407.110581274231 
434	 418.714401756572 
435	 429.855922954616 
436	 441.489125710544 
437	 454.44407291013 
438	 467.803681383519 
439	 480.779789738127 
440	 493.139696607734 
441	 505.368050465172 
442	 518.066384688412 
443	 530.463382781185 
444	 541.8265300625 
445	 553.502776562749 
446	 564.377558666336 
447	 574.467278886688 
448	 584.859436074878 
449	 596.092950891965 
450	 606.991853174594 
451	 616.386805455325 
452	 623.994222663517 
453	 631.113551036077 
454	 638.743793353631 
455	 647.29801207597 
456	 653.81497251116 
457	 659.395885885309 
458	 665.087296336462 
459	 670.946650331382 
460	 675.859053515003 
461	 680.254900070869 
462	 684.929631791844 
463	 689.043764125315 
464	 693.280345134544 
465	 697.971942986331 
466	 702.922756130446 
