Wavelength	spectrum00008.asd
350	 18.9357363768595 
351	 18.6581334352361 
352	 17.8768156482521 
353	 18.1284458289861 
354	 19.9532684835939 
355	 21.2639758884137 
356	 22.5035051243845 
357	 23.6158458314206 
358	 24.1474704605329 
359	 24.9732152422589 
360	 26.5081099069788 
361	 28.4669026776906 
362	 29.1426624641365 
363	 29.7197039711326 
364	 31.3852029305075 
365	 34.8117498636477 
366	 37.3668509930506 
367	 39.9093833083932 
368	 42.3893462978947 
369	 43.357385011213 
370	 45.7879783157659 
371	 47.851285997339 
372	 48.0219908486001 
373	 49.7094022328484 
374	 52.9623506894883 
375	 56.9033161026632 
376	 60.0109143677247 
377	 61.4465956624929 
378	 62.8464836821623 
379	 65.2515171114216 
380	 68.0407521984488 
381	 69.402202604741 
382	 71.301935290225 
383	 75.8754532266955 
384	 78.2778328178163 
385	 80.2774024081446 
386	 82.804598657467 
387	 85.4871360602017 
388	 87.4009826125856 
389	 90.3900849741573 
390	 95.0903133188708 
391	 96.4906541714266 
392	 99.4108182909703 
393	 103.728938457186 
394	 106.675375508503 
395	 110.587738122588 
396	 113.547443243526 
397	 115.393042271496 
398	 119.913742415765 
399	 125.409025176436 
400	 130.67040924913 
401	 134.652592056256 
402	 136.3448823503 
403	 140.496494868649 
404	 147.472061242442 
405	 152.853780087896 
406	 157.525177293473 
407	 162.545491415818 
408	 168.543759999498 
409	 174.580095330895 
410	 180.097885002899 
411	 185.676714907614 
412	 192.564208040719 
413	 200.911041312064 
414	 209.082659619336 
415	 216.609652693235 
416	 225.708244918864 
417	 234.276866121276 
418	 242.252149795323 
419	 250.432725872196 
420	 259.902252797407 
421	 269.897018111323 
422	 279.739146811219 
423	 289.03023382488 
424	 299.623383529258 
425	 310.869052542854 
426	 321.856878297186 
427	 333.017601607168 
428	 344.738391652473 
429	 356.928708173127 
430	 369.132163465177 
431	 381.022512804334 
432	 392.830793782092 
433	 404.967594888444 
434	 418.283507979007 
435	 429.809813169086 
436	 440.925010748819 
437	 454.327185046812 
438	 467.674412457814 
439	 480.533527778298 
440	 492.841300532347 
441	 504.80044852995 
442	 517.146152906017 
443	 529.717661951936 
444	 541.888948384867 
445	 552.497043355631 
446	 561.972949618282 
447	 571.793876843063 
448	 584.068912215991 
449	 595.322214149881 
450	 605.0975597391 
451	 613.777239348537 
452	 622.256782866203 
453	 629.402611700522 
454	 636.392306902275 
455	 645.221976851823 
456	 652.69650113529 
457	 658.6475384324 
458	 663.909249953288 
459	 670.547207352029 
460	 675.549654885677 
461	 679.644544862754 
462	 684.54610653339 
463	 689.130057948607 
464	 693.296780590753 
465	 697.522643504276 
466	 702.880478882107 
467	 706.792739617665 
468	 710.85990389964 
469	 716.70055495565 
470	 721.860861603599 
471	 727.007191348426 
472	 731.581130104118 
473	 734.410492961099 
474	 741.231339162731 
475	 748.129749468072 
476	 752.004848741347 
477	 755.796045626974 
478	 762.653672880165 
479	 770.377230185996 
480	 774.736813393823 
481	 781.364747554075 
482	 788.220247383089 
483	 794.103893907866 
484	 800.714942880214 
485	 807.018708574265 
486	 813.817309803914 
487	 821.762698496662 
488	 827.13128051199 
489	 833.765724819949 
490	 842.002451511696 
491	 847.714754939108 
492	 855.483468656342 
493	 864.611913089693 
494	 873.74984930105 
495	 884.342492397903 
496	 894.845538650282 
497	 905.522155355757 
498	 917.974926254938 
499	 931.154282139575 
500	 943.64797077957 
501	 955.617597718519 
502	 971.373642395116 
503	 987.677416285792 
504	 1004.29671698017 
505	 1022.23698634682 
506	 1039.54427484953 
507	 1057.21456734734 
508	 1076.83383332578 
509	 1100.67917873406 
510	 1124.01514325498 
511	 1147.40113577991 
512	 1173.04418616176 
513	 1200.23903260149 
514	 1231.49204964604 
515	 1265.72075711473 
516	 1297.50402202651 
517	 1332.00212612051 
518	 1369.62312051553 
519	 1409.35357511993 
520	 1449.68623501046 
521	 1492.07575318009 
522	 1536.51898778524 
523	 1581.77138462042 
524	 1627.46615163061 
525	 1673.55273281833 
526	 1720.2107579072 
527	 1768.05483845791 
528	 1815.82062473109 
529	 1863.1597806938 
530	 1910.17321067732 
531	 1956.06318468052 
532	 2001.92261265215 
533	 2048.18298881623 
534	 2093.70061496658 
535	 2138.96147582796 
536	 2182.26696928366 
537	 2222.13090086327 
538	 2262.85078097155 
539	 2303.23185795022 
540	 2342.409972497 
541	 2380.40169732473 
542	 2419.12416802964 
543	 2457.84009869749 
544	 2495.79641242509 
545	 2535.45665642737 
546	 2574.03908522296 
547	 2611.93187272547 
548	 2652.00879095044 
549	 2688.7186869273 
550	 2724.49977145385 
551	 2761.51114855523 
552	 2797.20007195763 
553	 2829.50769371352 
554	 2859.25958637097 
555	 2888.52700470916 
556	 2913.20733714844 
557	 2934.72014233328 
558	 2954.36189944112 
559	 2971.96177672926 
560	 2986.36290980629 
561	 2996.78631070513 
562	 3002.69558476044 
563	 3003.60883051411 
564	 3002.01978887238 
565	 2999.04375507011 
566	 2993.78848552761 
567	 2985.86199988642 
568	 2976.06726560643 
569	 2965.20259970906 
570	 2951.6883056768 
571	 2942.15356212531 
572	 2938.23069906671 
573	 2936.9074859164 
574	 2936.90882981699 
575	 2937.31309712753 
576	 2939.16675919375 
577	 2948.78736093773 
578	 2957.53302156091 
579	 2967.31405457857 
580	 2984.94998730117 
581	 3003.61754704012 
582	 3020.00720040345 
583	 3033.44312456346 
584	 3047.60456881223 
585	 3054.51695860489 
586	 3057.29322609625 
587	 3061.9119931679 
588	 3063.72086223147 
589	 3065.87786308422 
590	 3069.14144057626 
591	 3070.79612392484 
592	 3070.99076362803 
593	 3068.65468224217 
